fund_name,general_partner,vintage_year,asset_class,sub_strategy,pension_fund_count,pension_funds,total_commitment_mm,avg_net_irr,avg_net_multiple
Helios Investors III,Helios,2014,Private Equity,,1,NY Common,200.00,,1.3770
Hellman & Friedman Capital Partners IX,Hellman & Friedman,2020,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2708.72,0.1318,1.6142
Hellman & Friedman Capital Partners V,Hellman & Friedman,2004,Private Equity,Buyout,1,WSIB,75.00,0.2791,2.7000
Hellman & Friedman Capital Partners VI,Hellman & Friedman,2007,Private Equity,Buyout,1,WSIB,275.00,0.1292,1.8000
Hellman & Friedman Capital Partners VII,Hellman & Friedman,2011,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,NY Common",1200.00,0.2457,3.3756
Hellman & Friedman Capital Partners VIII,Hellman & Friedman,2016,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",2000.00,0.1060,1.7307
Hellman & Friedman Capital Partners X,Hellman & Friedman,2021,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",3890.01,0.0552,1.1620
Hellman & Friedman Capital Partners XI,Hellman & Friedman,2025,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",1800.00,0.0000,
Heritage Fund III,Heritage,1999,Private Equity,,1,WSIB,40.00,-0.2353,0.5000
Hg Genesis 10 A,Hg,2023,Private Equity,Buyout,1,CalPERS,134.77,,1.1393
Hg Genesis 9 A,Hg,2021,Private Equity,Buyout,1,CalSTRS,117.38,0.1632,1.5523
Hg Mercury 3 A,Hg,2021,Private Equity,Buyout,1,CalSTRS,25.82,0.2367,1.6557
Hg Mercury 4 A,Hg,2023,Private Equity,Buyout,1,CalPERS,53.84,,1.1381
Hg Saturn 2 A,Hg,2020,Private Equity,Buyout,1,CalSTRS,150.00,0.1574,1.4769
Hg Saturn 3 A,Hg,2023,Private Equity,Buyout,2,"CalPERS,CalSTRS",270.00,0.1357,1.2009
Hg Saturn 4 A,Hg,2025,Private Equity,Buyout,1,CalSTRS,200.00,0.0000,
HgCapital 7 C,Hg,2013,Private Equity,Buyout,1,CalSTRS,68.52,0.1769,2.2773
HgCapital 8 A,Hg,2018,Private Equity,Buyout,1,CalSTRS,93.18,0.3476,2.6335
"Hicks, Muse, Tate & Furst Equity Fund IV","Hicks, Muse, Tate & Furst Equity",1998,Private Equity,,1,Oregon,200.00,-0.0740,0.7300
"Hicks, Muse, Tate & Furst Europe Fund","Hicks, Muse, Tate & Furst Europe",1999,Private Equity,,1,Oregon,99.30,0.2160,1.7500
High Peaks Seed Ventures NY,High Peaks Seed Ventures NY,2010,Private Equity,Venture Capital,1,NY Common,30.00,,0.7669
HongShan Capital Expansion Fund I,HongShan Capital Expansion,2024,Private Equity,,1,CalPERS,134.00,,0.9479
HongShan Capital Growth Fund VII,HongShan,2023,Private Equity,Growth Equity,1,CalPERS,104.00,,0.8102
HongShan Capital Seed Fund III,HongShan Capital Seed,2022,Private Equity,Venture Capital,1,CalPERS,12.00,-0.1111,0.8491
HongShan Capital Venture Fund IX,HongShan Capital Venture,2022,Private Equity,Venture Capital,1,CalPERS,32.00,-0.1121,0.8651
Hony Capital Fund 2008,Hony,2008,Private Equity,,1,CalSTRS,50.00,-0.0514,0.6804
Hony Capital Fund V,Hony,2011,Private Equity,,2,"CalSTRS,NY Common",275.00,-0.0389,0.7565
Hony Capital Fund VIII (Cayman),Hony,2016,Private Equity,,1,NY Common,400.00,,1.0833
Hornet Co-Invest,Hornet,2024,Private Equity,Co-Investment,1,CalPERS,800.00,,1.3548
Horsley Bridge International II,Horsley Bridge International,2000,Private Equity,,1,NY Common,50.00,,1.5785
Hudson River Co-Investment Fund,Hudson River Co-Investment,2001,Private Equity,Co-Investment,1,NY Common,361.79,,1.6126
Hudson River Co-Investment Fund II,Hudson River Co-Investment,2011,Private Equity,Co-Investment,1,NY Common,200.00,,2.1941
Hudson River Co-Investment Fund III,Hudson River Co-Investment,2016,Private Equity,Co-Investment,1,NY Common,600.00,,1.8506
Hudson River Co-Investment Fund IV,Hudson River Co-Investment,2023,Private Equity,Co-Investment,1,NY Common,300.00,,1.0085
Hudson River Fund II,Hudson River,2001,Private Equity,,1,NY Common,1700.00,,1.5491
Huntsman Gay Capital Partners Fund,Huntsman Gay Capital Partners,2008,Private Equity,,1,CalSTRS,100.00,0.0998,1.3458
ICG Strategic Equity Fund III,ICG,2020,Private Equity,Buyout,1,CalSTRS,150.00,0.2446,2.1215
ICG Strategic Equity Fund IV,ICG,2021,Private Equity,Buyout,1,CalSTRS,250.00,0.1455,1.3506
ICG Strategic Equity Fund V,ICG,2024,Private Equity,Buyout,1,CalSTRS,100.00,,1.4838
ICON Partners III,ICON,2021,Private Equity,,1,NY Common,84.00,,0.2435
ICONIQ Strategic Partners VII,ICONIQ,2024,Private Equity,,1,NY Common,225.00,,1.0344
ICV Partners III,ICV,2013,Private Equity,,1,CalSTRS,40.00,-0.0110,0.9279
ICV Partners IV,ICV,2018,Private Equity,,2,"CalSTRS,NY Common",210.00,0.1142,1.3797
ICV Partners V,ICV,2023,Private Equity,,1,NY Common,150.00,,0.9918
IK IX Fund No.1 SCSp,IK,2019,Private Equity,,1,NY Common,432.25,,1.1680
IK VIII Fund,IK,2016,Private Equity,,1,NY Common,378.22,,1.8641
IVP XVII,IVP,2021,Private Equity,,1,CalSTRS,100.00,0.1488,1.5141
Innovation Opportunities,Innovation,2023,Private Equity,Opportunistic,1,CalPERS,1668.57,,1.7487
Insight Fund XI Follow-On Fund,Insight Fund Follow-On,2023,Private Equity,,1,NY Common,100.00,,1.1215
Insight Partners XI,Insight Partners,2020,Private Equity,Growth Equity,3,"CalPERS,WSIB,NY Common",1100.00,0.1278,1.6419
Insight Partners XII,Insight Partners,2021,Private Equity,Growth Equity,3,"CalPERS,WSIB,NY Common",1450.00,0.0134,1.0007
Insight Partners XII Buyout Annex Fund,Insight Partners,2021,Private Equity,Buyout,2,"CalPERS,NY Common",350.00,0.0951,1.2484
Insight Partners XIII,Insight Partners,2024,Private Equity,Growth Equity,2,"CalPERS,NY Common",900.00,,0.9654
Insight Partners XIII Growth Buyout Fund,Insight Partners,2024,Private Equity,Growth Equity,1,CalPERS,100.00,,1.0431
Insight Venture Partners Growth-Buyout Coinvestment Fund (B),Insight Venture Partners Growth-Buyout Coinvestment,2015,Private Equity,Co-Investment,2,"CalPERS,WSIB",450.00,0.2581,3.4761
Insight Venture Partners IX,Insight,2015,Private Equity,Venture Capital,2,"CalPERS,WSIB",250.00,0.2321,3.9104
Insight Venture Partners VIII,Insight,2013,Private Equity,Venture Capital,1,WSIB,150.00,0.2034,3.2000
Insight Venture Partners X,Insight,2018,Private Equity,Venture Capital,2,"CalPERS,NY Common",750.00,0.2300,2.7708
Insight Venture Partners X Follow-On Fund,Insight Venture Partners Follow-On,2021,Private Equity,Venture Capital,1,NY Common,99.02,,0.9556
Insight Vision Capital II,Insight Vision,2023,Private Equity,,1,NY Common,50.00,,0.7303
Institutional Venture Partners XIII,Institutional,2010,Private Equity,Venture Capital,1,NY Common,90.00,,1.5983
Institutional Venture Partners XVIII,Institutional,2024,Private Equity,Venture Capital,1,CalSTRS,100.00,0.3090,1.1423
InterWest Partners IX,InterWest,2005,Private Equity,,1,CalSTRS,40.00,0.0452,1.3203
InterWest Partners VI,InterWest,1997,Private Equity,,1,WSIB,10.00,0.4880,3.0000
InterWest Partners VIII,InterWest,2000,Private Equity,,1,CalSTRS,75.00,-0.0679,0.5794
Invesco Portfolio,Invesco,1996,Private Equity,,1,WSIB,324.95,0.0725,1.4000
Investech,Investech,1982,Private Equity,,1,WSIB,5.00,0.0225,1.2000
Investitori Associati IV,Investitori Associati,2004,Private Equity,,1,CalSTRS,29.35,-0.0950,0.5715
Irving Place Capital Partners III,Irving Place,2006,Private Equity,,1,Oregon,100.00,0.0280,1.1500
Italian Private Equity Fund IV,Italian Private Equity,2003,Private Equity,,1,CalSTRS,35.22,-0.0163,0.9149
J.C. Flowers Fund II,J.C. Flowers,2006,Private Equity,,1,Oregon,100.00,-0.1020,0.4500
J.H. Whitney VI,J.H. Whitney,2005,Private Equity,,1,CalSTRS,75.00,0.0589,1.7187
JFL Equity Investors VI,JFL Equity,2024,Private Equity,,1,NY Common,200.00,,1.2090
JFL VI NYSCRF Co-Invest Partners,JFL NYSCRF Co-Invest,2024,Private Equity,Co-Investment,1,NY Common,100.00,,
JMI Equity Fund IX-A,JMI Equity,2019,Private Equity,Growth Equity,1,CalSTRS,120.00,0.2254,2.1341
JMI Equity Fund VII,JMI Equity,2011,Private Equity,Growth Equity,2,"CalSTRS,NY Common",90.00,0.1773,2.5086
"JMI Equity Fund VII, LP*",JMI Equity,2010,Private Equity,Growth Equity,1,NY Common,40.00,,2.5160
JMI Equity Fund VIII,JMI Equity,2015,Private Equity,Growth Equity,1,CalSTRS,100.00,0.2670,2.4490
JMI Equity Fund X A,JMI Equity,2021,Private Equity,Growth Equity,1,CalSTRS,170.00,0.1374,1.4567
JMI Equity Fund XI A,JMI Equity,2023,Private Equity,Growth Equity,1,CalSTRS,225.00,0.1356,1.1409
JSC Capital Partners,JSC,2024,Private Equity,,1,CalPERS,1074.31,,1.2031
Jade Equity Investors,Jade Equity,2020,Private Equity,,2,"CalPERS,WSIB",330.00,0.1944,1.5588
Jade Equity Investors II,Jade Equity,2024,Private Equity,,3,"CalPERS,WSIB,NY Common",375.00,0.3417,1.1408
John Hancock Venture Capital Fund,John Hancock Venture,1983,Private Equity,Venture Capital,1,WSIB,10.00,0.0173,1.1000
Joseph Littlejohn Levy Fund II,Joseph Littlejohn Levy,1994,Private Equity,,2,"WSIB,Oregon",90.00,0.0713,1.5050
"Joseph, Littlejohn & Levy Fund","Joseph, Littlejohn & Levy",1991,Private Equity,,1,Oregon,30.00,0.3340,2.6000
"Joseph, Littlejohn & Levy Fund III","Joseph, Littlejohn & Levy",1998,Private Equity,,2,"WSIB,Oregon",225.00,0.1119,1.5350
K5 Private Investors,K5 Private,2021,Private Equity,,1,CalPERS,150.00,0.1401,1.3873
KBA Partners,KBA,1987,Private Equity,,1,WSIB,33.00,0.1473,2.2000
KBA Partners II,KBA,1989,Private Equity,,1,WSIB,42.60,-0.4207,0.0000
KKR 1980 Related Fund,Related,1981,Private Equity,,1,Oregon,194.10,0.2250,3.4400
KKR 1982 Fund,KKR,1983,Private Equity,Buyout,2,"WSIB,Oregon",37.99,0.3812,3.1500
KKR 1984 Fund,KKR,1984,Private Equity,Buyout,2,"WSIB,Oregon",226.60,0.2890,4.3550
KKR 1986 Fund,KKR,1986,Private Equity,Buyout,2,"WSIB,Oregon",182.65,0.2716,5.0250
KKR 1987 Fund,KKR,1987,Private Equity,Buyout,2,"WSIB,Oregon",1352.77,0.0871,1.6800
KKR 1993 Fund,KKR,1993,Private Equity,Buyout,2,"WSIB,Oregon",700.00,0.1668,1.6800
KKR 1996 Fund,KKR,1997,Private Equity,Buyout,2,"WSIB,Oregon",1650.65,0.1320,1.6150
KKR 2006 Co-Investment Fund,KKR,2007,Private Equity,Co-Investment,1,Oregon,187.50,0.1530,2.2300
KKR 2006 Fund,KKR,2006,Private Equity,Buyout,5,"CalPERS,CalSTRS,WSIB,Oregon,NY Common",4112.50,0.0894,1.7443
KKR Americas Fund XII,KKR,2017,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",2750.00,0.1973,2.1345
KKR Americas Fund XIII,KKR,2021,Private Equity,Buyout,1,Oregon,275.00,0.1140,1.2400
KKR Asian Fund,KKR,2007,Private Equity,Buyout,4,"CalPERS,WSIB,Oregon,NY Common",871.68,0.1363,1.7124
KKR Asian Fund II,KKR,2013,Private Equity,Buyout,4,"CalPERS,WSIB,Oregon,NY Common",1250.00,-0.0020,1.0228
KKR Asian Fund III,KKR,2018,Private Equity,Buyout,4,"CalSTRS,WSIB,Oregon,NY Common",1500.00,0.1905,1.9760
KKR Asian Fund IV,KKR,2020,Private Equity,Buyout,1,NY Common,600.00,,1.3397
KKR Asian Fund IV SCSp,KKR,2021,Private Equity,Buyout,3,"CalPERS,CalSTRS,WSIB",1100.00,0.1891,1.5036
KKR Beatrice,KKR,1986,Private Equity,Buyout,1,WSIB,75.00,0.4317,3.6000
KKR China Growth Fund,KKR,2010,Private Equity,Growth Equity,1,NY Common,250.00,,1.0537
KKR DAW,KKR,1984,Private Equity,Buyout,1,WSIB,64.00,0.1308,3.0000
KKR E2 Investors,KKR,2009,Private Equity,Buyout,1,WSIB,39.57,-0.0287,0.9000
KKR E2 Investors (Euro 2 Annex Fund),KKR,2009,Private Equity,Buyout,1,Oregon,37.00,-0.0290,0.9100
KKR European Fund,KKR,1999,Private Equity,Buyout,2,"WSIB,Oregon",800.00,0.1971,2.0850
KKR European Fund II,KKR,2005,Private Equity,Buyout,4,"CalPERS,WSIB,Oregon,NY Common",1311.05,0.0449,1.2737
KKR European Fund III,KKR,2008,Private Equity,Buyout,2,"CalPERS,Oregon",780.27,0.1030,1.5207
"KKR European Fund III, L.P. - USD",KKR,2008,Private Equity,Buyout,1,WSIB,660.43,0.1099,1.6000
KKR European Fund IV,KKR,2015,Private Equity,Buyout,1,WSIB,226.51,0.1561,1.9000
KKR European Fund V (USD) SCSp,KKR,2020,Private Equity,Buyout,1,CalPERS,300.00,0.1070,1.3971
"KKR European Fund V, L.P. - USD",KKR,2020,Private Equity,Buyout,1,WSIB,300.00,0.1079,1.4000
KKR European Fund VI (USD) SCSp,KKR,2023,Private Equity,Buyout,1,WSIB,300.00,-0.0677,0.9000
KKR Global Impact Fund II SCSp,KKR,2023,Private Equity,Buyout,1,WSIB,150.00,-0.1099,0.9000
KKR Global Impact Fund SCSp,KKR,2018,Private Equity,Buyout,1,NY Common,600.00,,1.6014
KKR Millennium Fund,KKR,2002,Private Equity,Buyout,3,"WSIB,Oregon,NY Common",2750.00,0.1655,1.8150
"KKR Millennium Fund, LP*",KKR,2001,Private Equity,Buyout,1,NY Common,250.00,,1.8052
KKR Non-Fund,KKR,1985,Private Equity,Buyout,1,Oregon,65.00,0.1680,3.4000
KKR North America Fund XI,KKR,2013,Private Equity,Buyout,3,"CalSTRS,WSIB,Oregon",1400.00,0.1921,2.2635
"KKR North America Fund XI, L.P. - Second Commitment",KKR,2013,Private Equity,Buyout,1,WSIB,250.00,0.1932,2.3000
KKR North America Fund XIII SCSp,KKR,2022,Private Equity,Buyout,4,"CalPERS,CalSTRS,WSIB,NY Common",2425.00,0.1158,1.1849
KKR North America Fund XIV,KKR,2024,Private Equity,Buyout,1,Oregon,350.00,,
KKR North America XIV SCSp,KKR,2025,Private Equity,Buyout,2,"CalSTRS,NY Common",900.00,0.0000,
KKR Red Lion,KKR,1985,Private Equity,Buyout,1,WSIB,108.13,0.1010,3.3000
KM Corporate Partners Fund II,KM Corporate Partners,2007,Private Equity,,1,CalPERS,200.00,0.0420,1.2442
KOALA PACIFIC PARTNERSHIP,KOALA PACIFIC PARTNERSHIP,2024,Private Equity,,1,CalPERS,200.00,,1.2261
KPS Special Situations Fund V,KPS Special Situations,2020,Private Equity,Distressed/Special Situations,1,Oregon,50.00,0.1170,1.3100
KPS Special Situations Fund VI,KPS Special Situations,2023,Private Equity,Distressed/Special Situations,1,Oregon,150.00,,1.0700
KSL Capital Partners CV II 3,KSL Capital Partners CV,2023,Private Equity,,1,NY Common,96.68,,1.1197
KSL Capital Partners Credit Opportunities Fund,KSL Capital Partners Credit,2014,Private Credit,Credit,1,Oregon,75.00,0.1440,1.3800
KSL Capital Partners II,KSL,2006,Private Equity,,2,"WSIB,Oregon",200.00,0.1530,1.8850
KSL Capital Partners III,KSL,2011,Private Equity,,3,"WSIB,Oregon,NY Common",530.00,0.0769,1.2244
KSL Capital Partners IV,KSL,2016,Private Equity,,3,"WSIB,Oregon,NY Common",850.00,0.1256,1.6392
KSL Capital Partners Supplemental II TE,KSL Capital Partners Supplemental TE,2009,Private Equity,,2,"WSIB,Oregon",100.00,0.2480,2.1800
KSL Capital Partners V,KSL,2019,Private Equity,,3,"WSIB,Oregon,NY Common",1100.00,0.1200,1.3059
Kelso Investment Associates VIII,Kelso,2007,Private Equity,Buyout,1,NY Common,500.00,,1.4092
Khosla Ventures III,Khosla,2009,Private Equity,Venture Capital,1,CalPERS,200.00,0.0970,1.8493
Khosla Ventures Seed,Khosla Ventures Seed,2009,Private Equity,Venture Capital,1,CalPERS,60.00,0.0140,1.1778
Knickerbocker Co-Investment Partners,Knickerbocker Co-Investment,2022,Private Equity,Co-Investment,1,NY Common,648.38,,1.2638
Kohlberg Empire State Co-Investment Fund,Kohlberg,2024,Private Equity,Co-Investment,1,NY Common,150.00,,1.1856
Kohlberg NY Investors X-B,Kohlberg,2024,Private Equity,Buyout,1,NY Common,250.00,,1.1877
LAV Biosciences Fund IV,LAV Biosciences,2017,Private Equity,,1,CalSTRS,40.00,0.1485,1.8829
LAV Biosciences Fund V,LAV Biosciences,2019,Private Equity,,1,CalSTRS,42.50,0.0663,1.2960
LAV Fund VI,LAV,2021,Private Equity,,1,CalSTRS,48.00,0.0976,1.2772
LAV Fund VI Opportunities,LAV,2021,Private Equity,Opportunistic,1,CalSTRS,24.00,0.0344,1.1059
LS Investments C,LS Investments,2024,Private Equity,,1,CalPERS,650.00,,1.1741
Levine Leichtman Capital Partners IV,Levine Leichtman,2008,Private Equity,,1,NY Common,100.00,,1.5805
Lexington Capital Partners III,Lexington,1998,Private Equity,,1,NY Common,200.00,,1.2566
Lexington Capital Partners V,Lexington,2001,Private Equity,,1,NY Common,150.00,,1.6310
Lightspeed Opportunity Fund II,Lightspeed,2022,Private Equity,Opportunistic,1,CalPERS,200.00,0.2291,1.3570
Lightspeed Opportunity Fund III,Lightspeed,2025,Private Equity,Opportunistic,1,CalPERS,200.00,,0.9549
Lightspeed Venture Partners Select V,Lightspeed,2022,Private Equity,Venture Capital,1,CalPERS,100.00,0.0861,1.1366
Lightspeed Venture Partners Select VI,Lightspeed,2025,Private Equity,Venture Capital,1,CalPERS,100.00,,0.9255
Lightspeed Venture Partners XIV-A (Inception),Lightspeed,2022,Private Equity,Venture Capital,1,CalPERS,45.00,0.1891,1.3895
Lightspeed Venture Partners XIV-B (Ignite),Lightspeed,2022,Private Equity,Venture Capital,1,CalPERS,55.00,0.2461,1.4361
Lightspeed Venture Partners XV-A (Inception),Lightspeed,2025,Private Equity,Venture Capital,1,CalPERS,45.00,,0.9755
Lightspeed Venture Partners XV-B (Ignite),Lightspeed,2025,Private Equity,Venture Capital,1,CalPERS,55.00,,0.9659
Lime Rock Partners IV,Lime Rock,2006,Private Equity,,1,CalPERS,43.00,0.1460,2.9130
Lincoln Plaza Fund,Lincoln Plaza,2024,Private Equity,,1,CalPERS,2000.00,,1.1748
Linden Capital Partners VI,Linden Capital,2025,Private Equity,Buyout,1,CalSTRS,100.00,0.0000,
Lindsay Goldberg IV,Lindsay Goldberg,2015,Private Equity,,2,"CalPERS,NY Common",636.92,0.2890,2.0347
Lindsay Goldberg V,Lindsay Goldberg,2019,Private Equity,,1,NY Common,600.00,,1.4787
Lindsay Goldberg VI,Lindsay Goldberg,2024,Private Equity,,1,NY Common,300.00,,
Lindsay Goldberg VI Empire Co-Investment.,Lindsay Goldberg Empire Co-Investment.,2025,Private Equity,,1,NY Common,150.00,,1.1594
Lion Capital Fund I,Lion,2004,Private Equity,,1,Oregon,99.80,0.2480,1.7800
Lion Capital Fund II,Lion,2007,Private Equity,,1,Oregon,203.30,-0.0730,0.6800
Lion Capital Fund III,Lion,2010,Private Equity,,1,Oregon,100.00,-0.0660,0.7400
Littlejohn Fund II,Littlejohn,1999,Private Equity,,1,Oregon,50.00,0.1200,1.5900
Littlejohn Fund III,Littlejohn,2004,Private Equity,,1,Oregon,50.00,0.2540,2.3700
Littlejohn Fund IV,Littlejohn,2010,Private Equity,,1,Oregon,100.00,0.1410,1.9200
Littlejohn Fund V,Littlejohn,2014,Private Equity,,1,CalSTRS,75.00,0.0593,1.3613
Littlejohn Fund VI,Littlejohn,2019,Private Equity,,1,CalSTRS,150.00,0.2163,1.6974
Lone Star Fund XI,Lone Star,2019,Real Assets,Real Estate,1,CalSTRS,200.00,0.2509,1.5753
Lone Star Fund XII,Lone Star,2024,Real Assets,Real Estate,1,CalSTRS,100.00,-0.0270,0.9864
LongRange Capital Fund I,LongRange,2020,Private Equity,,1,CalPERS,1500.00,0.1260,1.3282
Luminate Capital Partners III,Luminate,2021,Private Equity,,2,"WSIB,Oregon",300.00,0.0405,1.1050
Luminate Capital Partners IV,Luminate,2025,Private Equity,,2,"WSIB,Oregon",350.00,,0.9900
Lux Ventures VIII,Lux,2023,Private Equity,Venture Capital,1,CalPERS,300.00,,1.4139
M2 NY Pioneer Fund,M2 NY Pioneer,2011,Private Equity,,1,NY Common,480.00,,1.6927
M2 NY Pioneer II,M2 NY Pioneer,2017,Private Equity,,1,NY Common,400.00,,1.6332
M2 NY Pioneer III,M2 NY Pioneer,2021,Private Equity,,1,NY Common,300.00,,1.0733
M2 PE Fund Of Funds IV,M2 PE Fund Of Funds,2023,Private Equity,Fund of Funds,1,CalSTRS,250.00,-0.0035,0.9972
M2 Private Equity Fund-of-Funds II,M2 Private Equity Fund-of-Funds,2014,Private Equity,,1,CalSTRS,100.00,0.1099,1.5402
MBK Partners Fund V,MBK Partners,2021,Private Equity,Buyout,1,CalSTRS,200.00,0.1068,1.2634
MBK Partners Fund VI,MBK Partners,2024,Private Equity,Buyout,2,"CalPERS,CalSTRS",375.00,-0.3004,0.7621
MBK Partners IV,MBK Partners,2017,Private Equity,Buyout,2,"CalSTRS,Oregon",355.00,0.0940,1.5662
MHR Institutional Partners IV,MHR Institutional,2014,Private Equity,,1,Oregon,150.00,0.0740,1.4500
Madison CV I RUN,Madison CV RUN,2022,Private Equity,,1,NY Common,40.00,,1.3241
Madison Dearborn Capital Partners III,Madison Dearborn,1999,Private Equity,Buyout,1,WSIB,109.90,0.0857,1.5000
Madison Dearborn Capital Partners IV,Madison Dearborn,2000,Private Equity,Buyout,1,WSIB,300.00,0.1391,1.8000
Madison Dearborn Capital Partners V,Madison Dearborn,2006,Private Equity,Buyout,3,"CalPERS,WSIB,NY Common",625.00,0.0749,1.6029
Madison Dearborn Capital Partners VI,Madison Dearborn,2008,Private Equity,Buyout,1,WSIB,150.00,0.2317,2.2000
Madison Dearborn Capital Partners VIII,Madison Dearborn,2020,Private Equity,Buyout,1,WSIB,250.00,0.1142,1.3000
Madison Dearborn Capital VII-A/B,Madison Dearborn,2015,Private Equity,Buyout,1,CalSTRS,200.00,0.1327,1.8636
Magnolia Opportunities,Magnolia,2023,Private Equity,Opportunistic,1,CalPERS,100.00,,0.9953
Marble Arch Albany Co-Investment,Marble Arch Albany,2022,Private Equity,Co-Investment,1,NY Common,108.06,,1.1795
Marble Arch Albany V Co-Investment,Marble Arch Albany,2024,Private Equity,Co-Investment,1,NY Common,54.10,,
Markstone Capital Partners,Markstone,2004,Private Equity,,1,Oregon,50.00,,0.4000
Materia Ventures,Materia,1986,Private Equity,Venture Capital,1,WSIB,15.00,0.0191,1.2000
MatlinPatterson Global Opp. Partners. III,MatlinPatterson Global Opp. Partners.,2007,Private Equity,,2,"WSIB,Oregon",300.00,0.0394,1.2050
MatlinPatterson Global Opportunities Partners,MatlinPatterson Global Opportunities,2002,Private Equity,Opportunistic,2,"WSIB,Oregon",150.00,0.1586,1.7100
Mayfield Select,Mayfield Select,2017,Private Equity,,1,Oregon,12.50,0.1530,1.7500
Mayfield Select II,Mayfield Select,2021,Private Equity,,1,Oregon,20.00,0.1490,1.3700
Mayfield Select III,Mayfield Select,2023,Private Equity,,1,Oregon,25.30,,1.0500
Mayfield XIV,Mayfield,2013,Private Equity,,1,Oregon,25.00,0.1980,3.8000
Mayfield XV,Mayfield,2017,Private Equity,,1,Oregon,27.50,0.1580,2.1900
Mayfield XVI,Mayfield,2021,Private Equity,,1,Oregon,30.00,0.1840,1.5200
Mayfield XVII,Mayfield,2023,Private Equity,,1,Oregon,30.00,,1.2200
"Mayfield XVII, a Delaware Limited Partnership","Mayfield , a Delaware",2024,Private Equity,,1,CalPERS,21.00,,1.0527
Menlo Evergreen V,Menlo Evergreen,1988,Private Equity,,1,WSIB,25.00,0.3214,3.6000
Menlo Inflection I,Menlo Inflection,2016,Private Equity,,1,WSIB,131.00,0.1577,2.9000
Menlo Inflection II,Menlo Inflection,2019,Private Equity,,1,WSIB,200.00,0.1289,1.7000
Menlo Inflection III,Menlo Inflection,2022,Private Equity,,1,WSIB,250.00,0.0626,1.1000
Menlo Olympic Fund I,Menlo Olympic,2023,Private Equity,,1,WSIB,225.00,0.0356,1.0000
Menlo Venture Partners,Menlo,1981,Private Equity,Venture Capital,1,WSIB,3.00,0.0614,1.3000
Menlo Ventures III,Menlo Ventures,1983,Private Equity,Venture Capital,1,WSIB,20.00,0.0717,1.6000
Menlo Ventures IV,Menlo Ventures,1988,Private Equity,Venture Capital,1,WSIB,25.00,0.4215,5.1000
Menlo Ventures IX,Menlo Ventures,2001,Private Equity,Venture Capital,1,WSIB,200.00,0.0033,1.0000
Menlo Ventures VI,Menlo Ventures,1993,Private Equity,Venture Capital,1,WSIB,2.60,0.4083,3.1000
Menlo Ventures VII,Menlo Ventures,1997,Private Equity,Venture Capital,1,WSIB,25.00,1.3558,4.7000
Menlo Ventures VIII,Menlo Ventures,1999,Private Equity,Venture Capital,1,WSIB,50.00,-0.0894,0.5000
Menlo Ventures X,Menlo Ventures,2006,Private Equity,Venture Capital,1,WSIB,150.00,0.1052,2.1000
Menlo Ventures XI,Menlo Ventures,2011,Private Equity,Venture Capital,1,WSIB,100.00,0.2922,4.3000
Menlo Ventures XII,Menlo Ventures,2015,Private Equity,Venture Capital,1,WSIB,100.00,0.0947,1.8000
Menlo Ventures XIV,Menlo Ventures,2017,Private Equity,Venture Capital,1,WSIB,100.00,0.1936,2.5000
Menlo Ventures XV,Menlo Ventures,2020,Private Equity,Venture Capital,1,WSIB,125.00,0.0791,1.3000
Middlefield Road Private Opportunities Fund,Middlefield Road Private,2021,Private Equity,Opportunistic,1,CalPERS,800.00,0.0381,1.0770
Milestone Venture Partners III New York,Milestone Venture Partners New York,2007,Private Equity,Venture Capital,1,NY Common,15.00,,0.9367
Mobius Technology Ventures Side Fund VI,Mobius Technology Ventures Side,2003,Private Equity,Venture Capital,1,WSIB,8.17,0.0634,1.5000
Mobius Technology Ventures VI,Mobius Technology,2000,Private Equity,Venture Capital,1,WSIB,83.33,-0.0580,0.6000
Mohawk River Fund,Mohawk River,1998,Private Equity,,1,NY Common,600.00,,0.7753
Mohawk River Fund II,Mohawk River,2000,Private Equity,,1,NY Common,200.00,,0.9907
Mohawk River Fund III,Mohawk River,2001,Private Equity,,1,NY Common,600.00,,1.3303
Montauk TriGuard Fund III,Montauk TriGuard,2005,Private Equity,,1,Oregon,50.00,0.0370,1.1400
Montauk TriGuard Fund IV,Montauk TriGuard,2008,Private Equity,,1,Oregon,75.00,0.1230,1.5000
Montauk TriGuard Fund V,Montauk TriGuard,2011,Private Equity,,1,Oregon,75.00,0.0710,1.1900
Montauk TriGuard Fund VI,Montauk TriGuard,2014,Private Equity,,1,Oregon,100.00,0.0780,1.1600
Moreton Bay SPV,Moreton Bay SPV,2023,Private Equity,,1,CalPERS,1350.00,,1.2218
Morgan Stanley Venture Partners III,Morgan Stanley,1997,Private Equity,Venture Capital,1,WSIB,30.00,0.4087,2.3000
Muir Woods Partners,Muir Woods,2023,Private Equity,,1,CalPERS,250.00,,1.5773
NEA 15 Opportunity Fund,NEA,2015,Private Equity,Opportunistic,1,CalSTRS,35.00,0.2523,3.6810
